variable_common,ANES_year,variable,description_original,scale
voted_yn,2000,V001241,Did R Vote,"1. I DID NOT VOTE (IN THE ELECTION THIS NOVEMBER). 2. I THOUGHT ABOUT VOTING THIS TIME, BUT DIDN'T. 3. I USUALLY VOTE, BUT DIDN'T THIS TIME. 4. I AM SURE I VOTED"
votedpres_yn,2000,V001248,Did R vote for a presidential candidate,"1. YES, VOTED FOR PRESIDENT 5. NO, DIDN'T VOTE FOR PRESIDENT"
pres_choice,2000,V001249,Who did R vote for in Presidential race,1. AL GORE 2. HOWARD PHILLIPS - CONSTITUTION PARTY CANDIDATE  3. GEORGE W. BUSH 4. HARRY BROWN - LIBERTARIAN CANDIDATE 5. PAT BUCHANAN 6. RALPH NADER 7. R REPORTS VOTING FOR SELF
voted_yn,2004,V045017a,Did R vote in this election (standard q),"1. Yes, voted 5. No, didn't vote"
voted_yn,2004,V045017b,Did R vote in this election (experimental q),"1. I did not vote (in the election this November) 2. I thought about voting this time, but didn't 3. I usually vote, but didn't this time 4. I am sure I voted"
votedpres_yn,2004,V045025,Did R vote for a presidential candidate,"1. Yes, voted for President 5. No, didn't vote for President"
pres_choice,2004,V045026,R's vote for President,1. John Kerry 3. George W. Bush 5. Ralph Nader 7. Other {SPECIFY}
votedpres_yn,2008,V085044,Did R vote for candidate for President,"1. Yes, voted for President 5. No, didn't vote for President"
pres_choice,2008,V085044a,For whom did R vote for President,1. Barack Obama 3. John McCain 7. Other {SPECIFY}
voted_yn,2012,postvote_rvote,Did R vote,"1. I did not vote (in the election this november) 2. I thought about voting this time, but didn't 3. I usually vote, but didn't this time 4. I am sure I voted"
votedpres_yn,2012,postvote_presvt,Did R vote for President,"1. Yes, voted for President 2. No, didn't vote for President"
pres_choice,2012,presvote2012_x,PREPOST SUMMARY: For whom did R vote for President in 2012,1. <preload: dem_pcname>  2. <preload: rep_pcname 5. Other candidate (SPECIFY)
pres_choice,2016,V161027,PRE: For whom did R vote for President,1. Hillary Clinton 2. Donald Trump 3. Gary Johnson 4. Jill Stein 5. Other candidate (SPECIFY)
pres_choice,2016,V162034a,POST: For whom did R vote for President,1. Hillary Clinton 2. Donald Trump 3. Gary Johnson 4. Jill Steiin 5. Other candidate SPECIFY 7. Other specify given as: none 9. Other specify given as: RF
