speaker,pol_party
John McCain,Republican
George W. Bush,Republican
"Albert Gore, Jr.",Democrat
Richard B. Cheney,Republican
William J. Clinton,Democrat
John Edwards,Democrat
John F. Kerry,Democrat
Mike Huckabee,Republican
Ron Paul,Libertarian
Joseph Lieberman,Democrat
Christopher Dodd,Democrat
Michelle Obama,Democrat
Fred Thompson,Republican
Sarah Palin,Republican
"Joseph R. Biden, Jr.",Democrat
Hillary Clinton,Democrat
Mitt Romney,Republican
Barack Obama,Democrat
Bill Richardson,Democrat
Rudy Giuliani,Republican
Jill Biden,Democrat
Rick Santorum,Republican
Herman Cain,Republican
Michele Bachmann,Republican
Tim Pawlenty,Republican
Paul Ryan,Republican
Rick Perry,Republican
Jon Huntsman,Republican
Newt Gingrich,Republican
Tim Kaine,Democrat
Ted Cruz,Republican
Ben Carson,Republican
Rand Paul,Republican
Lindsey Graham,Republican
Bobby Jindal,Republican
John Kasich,Republican
Jim Webb,Democrat
Lincoln Chafee,Libertarian
Mike Pence,Republican
Donald J. Trump (1st Term),Republican
Bernie Sanders,Democrat
Scott Walker,Republican
Jeb Bush,Republican
Marco Rubio,Republican
Chris Christie,Republican
George Pataki,Republican
Martin O'Malley,Democrat
Carly Fiorina,Republican
Kamala Harris,Democrat
Amy Klobuchar,Democrat
Julián Castro,Democrat
Beto O'Rourke,Democrat
Elizabeth Warren,Democrat
John Delaney,Democrat
Eric Swalwell,Democrat
Bill de Blasio,Democrat
Michael Bloomberg,Democrat
Tim Ryan,Democrat
Steve Bullock,Democrat
Michael Bennet,Democrat
Pete Buttigieg,Democrat
Cory Booker,Democrat
John Hickenlooper,Democrat
Tom Steyer,Democrat
Andrew Yang,Democrat
Deval Patrick,Democrat
Tulsi Gabbard,Republican
Kirsten Gillibrand,Democrat
Jay Inslee,Democrat
Tim Walz,Democrat
J.D. Vance,Republican
Asa Hutchinson,Republican
Ron DeSantis,Republican
Tim Scott,Republican
Nikki Haley,Republican
Doug Burgum,Republican
Will Hurd,Republican
