speaker_year_id,speaker,year,change_index_score,relative_inyear_changegrams,visible_minority,gender,age_score,highest_govt_office,surname_political_dynasty,affiliation_relativeto_incumbent,pol_party,birthday,age_sept_election_year,age_score_excel,highest_govt_office_description,encoding_ANES,percent_changegrams,total_changegrams,nchars,nominee_yn,max_year_changegram,relative_toall_changegrams,relative_nomineeyn_changegrams
Kamala Harris_2024,Kamala Harris,2024,0.8170424669379366,1,1,1,0.619788758288394,0.2,1,0,Democrat,20-Oct-64,59,0.619788758,Vice President,999,0.00796539,742,558918,1,0.00796539,1,0.06225505654012283
Donald J. Trump_2024,Donald J. Trump,2024,0.6413141448171032,0.889784053260418,0,0,0.36653154442041347,0,1,1,Republican,14-Jun-46,78,0.366531544,President,999,0.007087477,1359,1150480,1,0.00796539,0.05384867407137571,0.0033523522489241407
"Joseph R. Biden, Jr._2024","Joseph R. Biden, Jr.",2024,0.5527467453311713,0.8835112907214839,0,0,0.3372421683184259,0,1,0,Democrat,20-Nov-42,81,0.337242168,President,999,0.007037512,547,466358,1,0.00796539,0,0
"Joseph R. Biden, Jr._2020","Joseph R. Biden, Jr.",2020,0.7138703088969741,1,0,0,0.37675070960209955,0.2,1,1,Democrat,20-Nov-42,77,0.37675071,Vice President,1,0.010585182,6681,3786992,1,0.010585182,1,0.2380274092452863
Donald J. Trump_2020,Donald J. Trump,2020,0.6161612070110727,0.9984391387885443,0,0,0.4089353929735008,0,1,0,Republican,14-Jun-46,74,0.408935393,President,2,0.01056866,5170,2935093,1,0.010585182,0,0.23691888199907948
Donald J. Trump_2016,Donald J. Trump,2016,0.786842352318927,1,0,0,0.4559319556497244,1,1,1,Republican,14-Jun-46,70,0.455931956,No Prior Government Office,2,0.013346914,4047,1819297,1,0.013346914,1,0.4233230858414192
Hillary Clinton_2016,Hillary Clinton,2016,0.5524294182491802,0.8257321505180898,0,1,0.4814860601221125,0.2,0,0,Democrat,26-Oct-47,68,0.48148606,Secretary of State,1,0.011020976,5644,3072686,1,0.013346914,0,0.26726657658177483
Barack Obama_2012,Barack Obama,2012,0.7320580414395582,1,1,0,0.7958800173440752,0,1,0,Democrat,04-Aug-61,51,0.795880017,President,1,0.021941972,136,37189,1,0.021941972,1,1
Mitt Romney_2012,Mitt Romney,2012,0.5463029967330153,0.6074081217494945,0,0,0.5228787452803376,0.4,1,1,Republican,12-Mar-47,65,0.522878745,Governor,2,0.013327732,16932,7622602,1,0.021941972,0,0.4220360885265216
Barack Obama_2008,Barack Obama,2008,0.858627956578047,1,1,0,0.9208187539523752,0.4,1,1,Democrat,04-Aug-61,47,0.920818754,Senator,1,0.015634008,13536,5194829,1,0.015634008,1,0.5767733953460912
John McCain_2008,John McCain,2008,0.5579426887031651,0.8118068636014514,0,0,0.431798275933005,0.4,1,0,Republican,29-Aug-36,72,0.431798276,Senator,3,0.012691795,11469,5421928,1,0.015634008,0,0.379368524589284
George W. Bush_2004,George W. Bush,2004,0.5529765896105397,1,0,0,0.638272163982407,0,0,0,Republican,06-Jul-46,58,0.638272164,President,3,0.020108776,114,34015,1,0.020108776,1,0.877003527803087
John F. Kerry_2004,John F. Kerry,2004,0.6056887504265105,0.7130355422925793,0,0,0.6020599913279624,0.4,1,1,Democrat,11-Dec-43,60,0.602059991,Senator,1,0.014338272000000001,2567,1074188,1,0.020108776,0,0.48983727018623957
"Albert Gore, Jr._2000","Albert Gore, Jr.",2000,0.6634727395256032,1,0,0,0.769551078621726,0.2,1,0,Democrat,31-Mar-48,52,0.769551079,Vice President,1,0.016899979,566,200947,1,0.016899979,1,0.6617124672748962
George W. Bush_2000,George W. Bush,2000,0.6729806958109825,0.9938344893801347,0,0,0.721246399047171,0.4,0,1,Republican,06-Jul-46,54,0.721246399,Governor,3,0.016795782,172,61444,1,0.016899979,0,0.6547214726330238
