speaker_year_id,total_changegrams,speaker,year,nchars,percent_changegrams
CHAFEE_2016,30,CHAFEE,2016,9318,0.019317450096587252
HICKENLOOPER_2020,34,HICKENLOOPER,2020,13127,0.015540489068332443
RYAN_2020,46,RYAN,2020,17786,0.015517823006859327
GABBARD_2020,81,GABBARD,2020,34575,0.014056399132321042
SWALWELL_2020,13,SWALWELL,2020,5602,0.013923598714744734
PATAKI_2016,105,PATAKI,2016,45459,0.013858641853098397
INSLEE_2020,34,INSLEE,2020,14868,0.013720742534301856
CASTRO_2020,92,CASTRO,2020,40315,0.013692174128736202
GILLIBRAND_2020,46,GILLIBRAND,2020,20164,0.013687760365006943
GORE_2000,711,GORE,2000,320962,0.013291293050267633
YANG_2020,125,YANG,2020,57508,0.013041663768519163
LIEBERMAN_2004,34,LIEBERMAN,2004,17032,0.011977454203851575
BUTTIGIEG_2020,293,BUTTIGIEG,2020,146890,0.011968139424058818
BUSH_2008,1,BUSH,2008,502,0.01195219123505976
FIORINA_2016,148,FIORINA,2016,74631,0.011898540820838525
BRADLEY_2000,386,BRADLEY,2000,204117,0.011346433663046194
KUCINICH_2004,22,KUCINICH,2004,12051,0.01095344784665173
MCCAIN_2008,493,MCCAIN,2008,273847,0.010801652017367363
MCCAIN_2000,273,MCCAIN,2000,155476,0.010535388098484652
SANDERS_2016,528,SANDERS,2016,304203,0.010414098480291121
GINGRICH_2012,425,GINGRICH,2012,246106,0.010361388994985902
CHRISTIE_2016,171,CHRISTIE,2016,99551,0.010306275175538167
WALKER_2016,31,WALKER,2016,18143,0.010251887780411178
RICHARDSON_2008,190,RICHARDSON,2008,111348,0.010238172216833711
GIULIANI_2008,295,GIULIANI,2008,174028,0.010170777116326107
OBAMA_2012,211,OBAMA,2012,125102,0.010119742290291124
GILMORE_2016,24,GILMORE,2016,14264,0.010095344924284912
SANDERS_2020,301,SANDERS,2020,179769,0.010046225990020526
BOOKER_2020,108,BOOKER,2020,65453,0.009900233755519227
HUNTSMAN_2012,155,HUNTSMAN,2012,94483,0.009843040546976704
CLINTON_2008,602,CLINTON,2008,368313,0.009806876216696125
WARREN_2020,242,WARREN,2020,148980,0.009746274667740636
BIDEN_2008,209,BIDEN,2008,129220,0.009704380126915338
BACHMANN_2012,194,BACHMANN,2012,120492,0.009660392391196097
RUBIO_2016,346,RUBIO,2016,215679,0.009625415548106213
OBAMA_2008,841,OBAMA,2008,526579,0.00958260773787029
ROMNEY_2008,379,ROMNEY,2008,238266,0.00954395507541991
JOHNSON_2012,5,JOHNSON,2012,3236,0.009270704573547589
BUSH_2016,169,BUSH,2016,110038,0.009214998455079153
CLINTON_2016,672,CLINTON,2016,445485,0.009050809791575474
KUCINICH_2008,118,KUCINICH,2008,80543,0.00879033559713445
GRAVEL_2008,56,GRAVEL,2008,38403,0.00874931645965159
BENNET_2020,27,BENNET,2020,18521,0.008746827925058041
THOMPSON_2008,132,THOMPSON,2008,91832,0.008624444638034672
CAIN_2012,109,CAIN,2012,76406,0.008559537209119701
PAWLENTY_2012,33,PAWLENTY,2012,23233,0.00852236043558731
HARRIS_2020,134,HARRIS,2020,95368,0.008430500796913012
CLARK_2004,20,CLARK,2004,14520,0.008264462809917356
GRAHAM_2016,74,GRAHAM,2016,53872,0.008241758241758242
KLOBUCHAR_2020,188,KLOBUCHAR,2020,137014,0.008232735340914068
EDWARDS_2008,280,EDWARDS,2008,204426,0.008218132722843474
WEBB_2016,21,WEBB,2016,15336,0.008215962441314555
CRUZ_2016,250,CRUZ,2016,182779,0.008206632052916362
SANTORUM_2012,331,SANTORUM,2012,242733,0.008181829417508127
LIEBERMAN_2000,46,LIEBERMAN,2000,34662,0.007962610351393456
JINDAL_2016,70,JINDAL,2016,53354,0.007871949619522435
BUSH_2000,316,BUSH,2000,241313,0.007857015577279301
PAUL_2016,72,PAUL,2016,55130,0.007836023943406493
WILLIAMSON_2020,20,WILLIAMSON,2020,15741,0.007623403849818944
RYAN_2012,51,RYAN,2012,40870,0.007487154391974553
BROWNBACK_2008,64,BROWNBACK,2008,51303,0.00748494240102918
KERRY_2004,169,KERRY,2004,138392,0.007327013122145789
BIDEN_2020,341,BIDEN,2020,287189,0.007124228295651992
ROMNEY_2012,576,ROMNEY,2012,489157,0.007065216280253579
KASICH_2016,176,KASICH,2016,153856,0.006863560732113145
HUNTER_2008,74,HUNTER,2008,66663,0.006660366320147608
BIDEN_2012,41,BIDEN,2012,37185,0.006615570794675272
SANTORUM_2016,97,SANTORUM,2016,89519,0.0065014131078318564
KEYES_2008,19,KEYES,2008,18132,0.00628722700198544
DODD_2008,127,DODD,2008,122451,0.0062228973221941835
PERRY_2012,123,PERRY,2012,118825,0.006210814222596254
DELANEY_2020,19,DELANEY,2020,18500,0.006162162162162162
EDWARDS_2004,67,EDWARDS,2004,66351,0.006058687887145635
KEYES_2000,165,KEYES,2000,173176,0.005716727491107312
HARRIS_2012,9,HARRIS,2012,9458,0.005709452315500106
HUCKABEE_2016,70,HUCKABEE,2016,77791,0.005399082156033475
TRUMP_2016,288,TRUMP,2016,342618,0.005043517853702958
DEAN_2004,13,DEAN,2004,15748,0.0049530099060198125
TRUMP_2020,66,TRUMP,2020,80601,0.004913090408307589
HUCKABEE_2008,135,HUCKABEE,2008,166352,0.004869193036452823
PAUL_2008,90,PAUL,2008,111016,0.0048641637241478705
PERRY_2016,6,PERRY,2016,7497,0.004801920768307323
GILMORE_2008,16,GILMORE,2008,20300,0.004729064039408867
SHARPTON_2004,11,SHARPTON,2004,14394,0.004585243851604835
PAUL_2012,157,PAUL,2012,207535,0.004538993422796156
TANCREDO_2008,42,TANCREDO,2008,62805,0.004012419393360401
CARSON_2016,55,CARSON,2016,83036,0.003974179873789682
EDWARDS_2000,1,EDWARDS,2000,1907,0.003146303093864709
CLARK_2000,0,CLARK,2000,389,0
JOHNSON_2008,0,JOHNSON,2008,495,0
