variable,description_original,scale,mean_fulldset,mean_subset,t_tstat,t_pval,t_degfree,w_pval,f_pval,f_oddsratio,f_conflow,f_confhigh,numerical_type,category,description
V202158,POST: Feeling Favourability Rating: Dr. Anthony Fauci,"0-100 scale: 0 Terrible, 100 Great",69.26,84.2,-6.23,0,92,0,NA,NA,NA,NA,continuous,Beliefs,Favourability Rating: Fauci
V202173,POST: Feeling Favourability Rating: scientists,"0-100 scale: 0 Terrible, 100 Great",80.09,86.57,-4.53,0,90.7,0.0095,NA,NA,NA,NA,continuous,New Variables,Favourability Rating: Scientists
V202332,POST: How much is climate change affecting severe weather/temperatures in US,1. Not at all 2. A little 3. A moderate amount 4. A lot 5. A great deal,3.57,4.2,-5.72,0,89.7,1e-4,NA,NA,NA,NA,ordinal,New Variables,Climate: impact level on United States
V202333,POST: How important is issue of climate change to R,1. Not at all important 2. A little important 3. Moderately important 4. Very important 5. Extremely important,3.35,3.83,-4.34,0,89.7,0.0037,NA,NA,NA,NA,ordinal,New Variables,Climate: issue importance
V202439,POST: CSES5‐Q18: Left‐right‐self,0. Left <-> 10. Right,5.63,4.93,4.2,1e-4,93.7,0.0113,NA,NA,NA,NA,ordinal,Political Involvement/ View of Politics,Left-Right self-placement
V201208,PRE: Democratic Presidential candidate trait: strong leadership, 1. Extremely well 2. Very well 3. Moderately well 4. Slightly well 5. Not well at all,3.4,2.97,4.08,1e-4,93.6,0.0012,NA,NA,NA,NA,ordinal,New New Variables,Dem. Candidate Trait: Strong Leadership
V201211,PRE: Democratic Presidential candidate trait: honest, 1. Extremely well 2. Very well 3. Moderately well 4. Slightly well 5. Not well at all,3.26,2.72,4.16,1e-4,90.8,4e-4,NA,NA,NA,NA,ordinal,New New Variables,Dem. Candidate Trait: Honest
V202431,POST: CSES5‐Q14a: 5pt scale: Does it make a difference who is in power,"5-point scale, 1. It doesn’t make any difference 5. It makes a big difference",4.25,3.81,3.26,0.0016,86.6,4e-4,NA,NA,NA,NA,ordinal,Political Involvement/ View of Politics,Matters who is in power
V201209,PRE: Democratic Presidential candidate trait: really cares, 1. Extremely well 2. Very well 3. Moderately well 4. Slightly well 5. Not well at all,3.18,2.81,2.96,0.0039,91.5,0.0179,NA,NA,NA,NA,ordinal,New New Variables,Dem. Candidate Trait: Really Cares
V202264,POST: The world is changing & we should adjust view of moral behavior,"1. Agree strongly, 2. Agree somewhat, 3. Neither agree nor disagree, 4. Disagree somewhat, 5. Disagree strongly",3.02,2.68,2.88,0.005,90.1,0.0331,NA,NA,NA,NA,ordinal,New Variables,"As world changes, morals should change"
V201367,PRE: How important branches of government keep one another from too much power,1. Not important at all 2. A little important 3. Moderately important 4. Very important 5. Extremely important,4.45,4.16,2.86,0.0053,89.8,0.0013,NA,NA,NA,NA,ordinal,New New Variables,Importance: Branches of Govt check one another
V202427,POST: CSES5‐Q09: How good/bad a job has government done in last 4 years,"1. Very good job, 2. Good job, 3. Bad job, 4. Very bad job",2.82,3.06,-2.83,0.0058,87.2,0.0543,NA,NA,NA,NA,ordinal,Review of State of Union/ Government's Job,Government Performance - 4yrs
V201210,PRE: Democratic Presidential candidate trait: knowledgeable, 1. Extremely well 2. Very well 3. Moderately well 4. Slightly well 5. Not well at all,3.11,2.8,2.78,0.0067,91.5,0.0397,NA,NA,NA,NA,ordinal,New New Variables,Dem. Candidate Trait: Knowledgeable
V202216,POST: Important differences in what major parties stand for,"1. Yes, differences, 2. No, no differences",1.06,1.16,-2.55,0.0125,87,1e-4,7e-4,3.03,1.56,5.48,binary,Political Involvement/ View of Politics,Differences in Major Parties
