variable,description_original,scale,mean_fulldset,mean_subset,t_tstat,t_pval,t_degfree,w_pval,f_pval,f_oddsratio,f_conflow,f_confhigh,numerical_type,category,description
V202158,POST: Feeling Favourability Rating: Dr. Anthony Fauci,"0-100 scale: 0 Terrible, 100 Great",69.26,84.2,-6.23,0,92,0,NA,NA,NA,NA,continuous,Beliefs,Favourability Rating: Fauci
V202173,POST: Feeling Favourability Rating: scientists,"0-100 scale: 0 Terrible, 100 Great",80.09,86.57,-4.53,0,90.7,0.0095,NA,NA,NA,NA,continuous,New Variables,Favourability Rating: Scientists
V202332,POST: How much is climate change affecting severe weather/temperatures in US,1. Not at all 2. A little 3. A moderate amount 4. A lot 5. A great deal,3.57,4.2,-5.72,0,89.7,1e-4,NA,NA,NA,NA,ordinal,New Variables,Climate: impact level on United States
V202333,POST: How important is issue of climate change to R,1. Not at all important 2. A little important 3. Moderately important 4. Very important 5. Extremely important,3.35,3.83,-4.34,0,89.7,0.0037,NA,NA,NA,NA,ordinal,New Variables,Climate: issue importance
V202439,POST: CSES5‐Q18: Left‐right‐self,0. Left <-> 10. Right,5.63,4.93,4.2,1e-4,93.7,0.0113,NA,NA,NA,NA,ordinal,Political Involvement/ View of Politics,Left-Right self-placement
V202431,POST: CSES5‐Q14a: 5pt scale: Does it make a difference who is in power,"5-point scale, 1. It doesn’t make any difference 5. It makes a big difference",4.25,3.81,3.26,0.0016,86.6,4e-4,NA,NA,NA,NA,ordinal,Political Involvement/ View of Politics,Matters who is in power
V202264,POST: The world is changing & we should adjust view of moral behavior,"1. Agree strongly, 2. Agree somewhat, 3. Neither agree nor disagree, 4. Disagree somewhat, 5. Disagree strongly",3.02,2.68,2.88,0.005,90.1,0.0331,NA,NA,NA,NA,ordinal,New Variables,"As world changes, morals should change"
V202427,POST: CSES5‐Q09: How good/bad a job has government done in last 4 years,"1. Very good job, 2. Good job, 3. Bad job, 4. Very bad job",2.82,3.06,-2.83,0.0058,87.2,0.0543,NA,NA,NA,NA,ordinal,Review of State of Union/ Government's Job,Government Performance - 4yrs
V202216,POST: Important differences in what major parties stand for,"1. Yes, differences, 2. No, no differences",1.06,1.16,-2.55,0.0125,87,1e-4,7e-4,3.03,1.56,5.48,binary,Political Involvement/ View of Politics,Differences in Major Parties
V202430,POST: CSES5‐Q11: State of economy better or worse over past 12 months,"1. Gotten much better, 2. Gotten somewhat better, 3. Stayed about the same, 4. Gotten somewhat worse, 5. Gotten much worse",3.66,3.93,-2.46,0.0159,89.3,0.1932,NA,NA,NA,NA,ordinal,Review of State of Union/ Government's Job,State of Economy - 12months
V202468x,PRE‐POST: SUMMARY: Total (family) income,"1. <-> 22.: 1. Under $9,999, 22. $250,000+",12.41,10.95,2.04,0.0448,88.6,0.0457,NA,NA,NA,NA,continuous,Demographic,Family income
V202162,POST: Feeling Favourability Rating: labor unions,"0-100 scale: 0 Terrible, 100 Great",58.06,62.82,-1.94,0.0559,88.9,0.0465,NA,NA,NA,NA,continuous,Beliefs,Favourability Rating: Labor Unions
V202138y,POST: Office recall: Vice‐President ‐ Mike Pence [coded],"0. Incorrect, 1. Correct",0.95,0.9,1.71,0.0913,89.3,0.0147,0.0364,0.43,0.21,0.98,binary,Information Level,Recall: VP Pence
